iter	Passed	Remaining
177	13521	24460
178	13543	24288
179	13671	24304
180	13734	24206
181	13855	24208
182	13894	24067
183	13917	23901
184	13968	23784
185	14025	23677
186	14056	23527
187	14156	23493
188	14245	23441
189	14271	23285
190	14392	23284
191	14423	23137
192	14512	23084
193	14604	23035
194	14639	22898
195	14664	22745
196	14758	22699
197	14787	22555
198	14845	22454
199	14944	22416
200	15001	22315
201	15026	22167
202	15058	22031
203	15115	21931
204	15158	21813
205	15261	21781
206	15355	21734
207	15383	21596
208	15430	21484
209	15493	21396
210	15555	21305
211	15690	21315
212	15732	21198
213	15757	21059
214	15905	21083
215	16064	21121
216	16105	21003
217	16165	20910
218	16267	20872
219	16356	20817
220	16454	20773
221	16484	20642
222	16528	20530
223	16580	20429
224	16615	20307
225	16791	20357
226	16841	20253
227	16865	20120
228	16931	20036
229	16983	19936
230	17054	19859
231	17153	19815
232	17198	19708
233	17221	19576
234	17284	19491
235	17348	19406
236	17408	19318
237	17499	19264
238	17553	19169
239	17576	19041
240	17614	18930
241	17669	18837
242	17713	18734
243	17788	18663
244	17891	18621
245	17936	18519
246	17960	18396
247	18027	18318
248	18105	18250
249	18174	18174
250	18287	18142
251	18316	18025
252	18353	17917
253	18419	17839
254	18497	17771
255	18661	17787
256	18691	17673
257	18733	17571
258	18798	17491
259	18830	17381
260	18884	17292
261	18945	17210
262	19005	17127
263	19044	17024
264	19065	16907
265	19089	16793
266	19186	16743
267	19226	16643
268	19287	16562
269	19335	16470
270	19385	16381
271	19422	16280
272	19446	16170
273	19513	16095
274	19570	16012
275	19642	15941
276	19722	15877
277	19778	15794
278	19803	15686
279	19841	15589
280	19919	15524
281	19973	15440
282	20062	15383
283	20120	15302
284	20167	15214
285	20194	15110
286	20285	15055
287	20314	14953
288	20492	14961
289	20525	14863
290	20548	14758
291	20663	14719
292	20694	14620
293	20857	14614
294	20896	14521
295	21032	14495
296	21058	14393
297	21280	14424
298	21308	14324
299	21428	14285
300	21641	14307
301	21662	14202
302	21700	14108
303	21789	14048
304	21831	13957
305	21913	13892
306	21998	13829
307	22026	13730
308	22050	13629
309	22137	13568
310	22180	13479
311	22385	13488
312	22425	13397
313	22472	13312
314	22567	13253
315	22613	13167
316	22662	13082
317	22714	13000
318	22764	12916
319	22794	12821
320	22860	12747
321	22914	12666
322	23126	12672
323	23161	12581
324	23213	12499
325	23279	12425
326	23309	12331
327	23359	12249
328	23409	12167
329	23461	12086
330	23515	12006
331	23538	11910
332	23580	11825
333	23639	11749
334	23686	11666
335	23828	11630
336	23916	11568
337	23939	11474
338	24056	11425
339	24217	11396
340	24283	11322
341	24309	11230
342	24370	11154
343	24424	11076
344	24466	10992
345	24511	10909
346	24564	10831
347	24624	10755
348	24656	10668
349	24681	10577
350	24739	10501
351	24791	10423
352	24853	10349
353	24976	10300
354	25015	10217
355	25037	10127
356	25145	10072
357	25186	9990
358	25386	9970
359	25414	9883
360	25541	9834
361	25632	9771
362	25686	9694
363	25767	9627
364	25811	9546
365	25883	9476
366	25959	9407
367	26128	9372
368	26161	9287
369	26277	9232
370	26322	9152
371	26395	9082
372	26488	9018
373	26550	8944
374	26582	8860
375	26815	8843
376	26923	8783
377	26950	8698
378	27072	8643
379	27270	8611
380	27297	8526
381	27326	8441
382	27423	8377
383	27610	8340
384	27669	8264
385	27693	8178
386	27731	8097
387	27790	8022
388	27904	7962
389	28012	7900
390	28046	7818
391	28072	7734
392	28193	7676
393	28220	7592
394	28311	7525
395	28413	7462
396	28443	7379
397	28482	7299
398	28556	7228
